Sample_type	Patient_ID	Sample_ID	Count
NCO	17	23561	85
NCO	17	23564	87
NCO	17	23567	107
NCO	17	24933	92
NCO	55	23611	42
NCO	55	23614	36
NCO	55	23617	47
NCO	55	24702	43
NCO	59	23638	31
NCO	59	23641	26
NCO	59	23644	45
NCO	59	23647	63
NCO	88	23692	54
NCO	88	23695	67
NCO	88	23698	56
NCO	88	23701	63
NCO	126	24346	69
NCO	126	24349	55
NCO	126	24352	61
NCO	126	24355	52
NCO	130	24295	42
NCO	130	24298	40
NCO	130	24301	31
NCO	130	24304	38
NCO	170	23788	44
NCO	170	23791	65
NCO	170	23794	35
NCO	170	23797	41
NCO	184	24325	35
NCO	184	24328	46
NCO	184	24331	45
NCO	184	24334	39
NCO	222	24370	56
NCO	222	24373	37
NCO	222	24376	54
NCO	222	24379	56
NCO	303	23599	165
NCO	303	23602	178
NCO	303	23605	96
NCO	303	24660	111
NCO	360	24409	96
NCO	360	24412	70
NCO	360	24810	79
NCO	360	24813	184
NCO	381	23836	27
NCO	381	23839	35
NCO	381	23842	35
NCO	381	23845	46
NCO	385	24421	69
NCO	385	24424	61
NCO	385	24816	75
NCO	385	24819	70
NCO	433	23890	32
NCO	433	23896	48
NCO	433	23899	138
NCO	433	24678	179
NCO	478	23938	113
NCO	478	23941	88
NCO	478	23944	100
NCO	478	23947	68
NCO	483	23824	20
NCO	483	23827	45
NCO	483	23830	27
NCO	483	23833	28
NCO	515	23683	32
NCO	515	23686	23
NCO	515	23689	43
NCO	515	24723	31
NCO	541	24223	36
NCO	541	24226	30
NCO	541	24229	42
NCO	541	24232	43
NCO	572	23776	83
NCO	572	23779	93
NCO	572	23785	71
NCO	572	24741	46
NCO	575	24541	56
NCO	575	25141	36
NCO	575	25147	55
NCO	575	25150	36
NCO	609	23992	34
NCO	609	23998	45
NCO	609	24768	40
NCO	609	24915	49
NCO	611	24559	28
NCO	611	24565	60
NCO	611	24837	44
NCO	611	24843	32
NCO	619	24463	36
NCO	619	24466	26
NCO	619	24469	19
NCO	619	25183	37
NCO	631	23728	108
NCO	631	23731	141
NCO	631	24729	148
NCO	631	24732	161
NCO	635	24037	66
NCO	635	24040	49
NCO	635	24043	56
NCO	635	24783	54
NCO	639	24235	32
NCO	639	24238	36
NCO	639	24241	35
NCO	639	24244	30
NCO	652	23878	50
NCO	652	23884	65
NCO	652	23887	57
NCO	652	25111	46
NCO	729	23752	51
NCO	729	23755	45
NCO	729	23758	25
NCO	729	23761	23
NCO	806	23341	107
NCO	806	24154	28
NCO	806	24157	58
NCO	806	24160	62
NCO	862	24580	30
NCO	862	24586	41
NCO	862	24589	28
NCO	862	24846	40
NCO	865	24070	36
NCO	865	24073	60
NCO	865	24786	53
NCO	865	24789	68
NCO	900	23926	22
NCO	900	23929	21
NCO	900	23932	34
NCO	900	23935	36
NCO	909	24514	41
NCO	909	24520	32
NCO	909	24523	25
NCO	909	24831	28
NCO	911	24619	38
NCO	911	24622	54
NCO	911	24625	64
NCO	911	24628	38
NCO	915	24490	46
NCO	915	25168	174
NCO	915	25171	25
NCO	915	25174	45
NCO	942	24124	28
NCO	942	24792	42
NCO	942	24795	54
NCO	942	24906	36
NCO	956	23980	22
NCO	956	23986	24
NCO	956	24765	32
NCO	956	24948	38
NCO	968	24187	42
NCO	968	24190	76
NCO	968	24193	30
NCO	968	24196	36
NCO	1005	24097	57
NCO	1005	24100	66
NCO	1005	24106	74
NCO	1005	25105	61
NCO	1047	24271	35
NCO	1047	24274	52
NCO	1047	24277	25
NCO	1047	24280	43
CO	42	24283	70
CO	42	24286	42
CO	42	24289	80
CO	42	24292	155
CO	43	23585	45
CO	43	23593	101
CO	43	24696	68
CO	43	25093	102
CO	74	23668	152
CO	74	23677	150
CO	74	24714	236
CO	74	24717	220
CO	160	23716	51
CO	160	23719	47
CO	160	23722	60
CO	160	23725	74
CO	163	23740	186
CO	163	23743	227
CO	163	23749	148
CO	163	24735	199
CO	169	23764	99
CO	169	23767	94
CO	169	23770	14
CO	169	23773	93
CO	266	24139	65
CO	266	24145	287
CO	266	24148	100
CO	266	24900	38
CO	279	23818	18
CO	279	24744	225
CO	279	24924	190
CO	279	24927	114
CO	286	24358	39
CO	286	24361	37
CO	286	24364	43
CO	286	24367	37
CO	295	24169	133
CO	295	24172	47
CO	295	24175	219
CO	295	24184	196
CO	322	24394	61
CO	322	24403	82
CO	322	24406	69
CO	322	24807	29
CO	387	23656	53
CO	387	23659	111
CO	387	23662	61
CO	387	23665	87
CO	391	23521	143
CO	391	23866	74
CO	391	23869	38
CO	391	23872	175
CO	396	24445	57
CO	396	24448	137
CO	396	24457	467
CO	396	24461	392
CO	403	24383	70
CO	403	24385	86
CO	403	24388	47
CO	403	24391	69
CO	422	24481	86
CO	422	25117	78
CO	422	25123	162
CO	422	25129	96
CO	450	23914	130
CO	450	23920	76
CO	450	23923	185
CO	450	24753	74
CO	512	23968	259
CO	512	23971	152
CO	512	23974	325
CO	512	23977	222
CO	521	23579	41
CO	521	24651	60
CO	521	24654	39
CO	521	24657	53
CO	551	24433	53
CO	551	24436	35
CO	551	24439	46
CO	551	24822	44
CO	568	24690	75
CO	568	24693	34
CO	568	24885	31
CO	568	24888	237
CO	623	23710	274
CO	623	23713	226
CO	623	24672	23
CO	623	24879	15
CO	626	24022	149
CO	626	24028	142
CO	626	24031	83
CO	626	24780	144
CO	660	24052	215
CO	660	24055	295
CO	660	24058	374
CO	660	24897	277
CO	672	24547	154
CO	672	24550	58
CO	672	24553	44
CO	672	25156	42
CO	686	23635	186
CO	686	24663	45
CO	686	24669	177
CO	686	25096	43
CO	702	24852	136
CO	702	24855	54
CO	702	24858	19
CO	702	24861	81
CO	728	24265	27
CO	728	24268	37
CO	728	25162	21
CO	728	25165	63
CO	740	24247	240
CO	740	24250	166
CO	740	24253	207
CO	740	24256	282
CO	772	24568	118
CO	772	24571	158
CO	772	24574	84
CO	772	24577	93
CO	779	24082	20
CO	779	24085	106
CO	779	24091	83
CO	779	24094	112
CO	833	24010	219
CO	833	24016	43
CO	833	24774	39
CO	833	24777	58
CO	852	23902	34
CO	852	23905	162
CO	852	23908	46
CO	852	24876	173
CO	856	23962	35
CO	856	24756	21
CO	856	24759	36
CO	856	24891	29
CO	891	24604	190
CO	891	24613	138
CO	891	24616	61
CO	891	24873	89
CO	951	23800	84
CO	951	23803	114
CO	951	23806	228
CO	951	23809	119
CO	954	24205	208
CO	954	24208	201
CO	954	24214	181
CO	954	24220	180
CO	977	23854	140
CO	977	23857	254
CO	977	23860	26
CO	977	24864	169
CO	995	24130	38
CO	995	24133	56
CO	995	24136	190
CO	995	24945	31
CO	997	24592	368
CO	997	24595	290
CO	997	24598	397
CO	997	24601	360
