Donor,Culture,Passage,Viability,Total viable cells,Cells per well,Cells seeded,Growth_fold_change,Date,Thaw date,Days_final,Days_temp
1,1,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
1,1,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
1,1,5,89%,1241500,20000,500000,Na,2017-05-12,Na,87,87
1,1,6,Na,1600000,20000,500000,3.2,2017-05-26,Na,101,101
1,1,7,89%,3070500,20000,500000,6.141,2017-06-09,Na,115,115
1,1,8,89%,4272000,20000,500000,8.544,2017-06-23,Na,129,129
1,1,9,87%,3393000,20000,500000,6.786,2017-07-07,Na,143,143
1,1,10,92%,10120000,20000,500000,20.24,2017-07-21,Na,157,157
1,1,11,96%,8640000,20000,500000,17.28,2017-08-06,Na,173,173
1,1,12,93%,11439000,20000,500000,22.878,2017-08-23,Na,190,190
1,1,13,87%,1740000,20000,500000,3.48,2017-09-03,Na,201,201
1,1,14,92%,7728000,20000,500000,15.456,2017-09-20,Na,218,218
1,1,15,81%,777600,20000,500000,1.5552,2017-10-04,Na,232,232
1,1,16,94%,3102000,20000,500000,6.204,2017-10-18,Na,246,246
1,1,17,91%,2548000,15000,400000,5.096,2017-11-01,Na,260,260
1,1,18,90%,3132000,10000,250000,7.83,2017-11-15,Na,274,274
1,1,19,95%,5130000,10000,250000,20.52,2017-11-29,Na,288,288
1,1,20,95%,6270000,10000,250000,25.08,2017-12-13,Na,302,302
1,1,21,92%,3680000,5000,125000,14.72,2017-12-27,Na,316,316
1,1,22,94%,2444000,10000,250000,19.552,2018-01-11,Na,331,331
1,1,23,95%,5985000,10000,250000,23.94,2018-01-24,Na,344,344
1,1,24,93%,2418000,10000,250000,9.672,2018-02-07,Na,358,358
1,1,25,95%,5415000,10000,250000,21.66,2018-02-21,Na,372,372
1,1,26,95%,3705000,10000,250000,14.82,2018-03-07,Na,386,386
1,1,27,94%,7614000,10000,250000,30.456,2018-03-21,Na,400,400
1,1,28,89%,3204000,10000,250000,12.816,2018-04-04,Na,414,414
1,1,29,95%,5985000,10000,250000,23.94,2018-04-18,Na,428,428
1,1,30,96%,4608000,10000,250000,18.432,2018-05-02,Na,442,442
1,1,31,94%,11844000,10000,250000,47.376,2018-05-16,Na,456,456
1,1,32,95%,4560000,10000,250000,18.24,2018-05-30,Na,470,470
1,1,33,91%,5187000,10000,250000,20.748,2018-06-13,Na,484,484
1,1,34,94%,3948000,10000,250000,15.792,2018-06-27,Na,498,498
1,1,35,95%,8835000,10000,250000,35.34,2018-07-11,Na,512,512
1,1,36,95%,5700000,10000,250000,22.8,2018-07-25,Na,526,526
1,1,37,92%,6900000,10000,250000,27.6,2018-08-08,Na,540,540
1,1,38,94%,5076000,10000,250000,20.304,2018-08-22,Na,554,554
1,1,39,85%,5865000,10000,250000,23.46,2018-09-05,Na,568,568
1,1,40,91%,7917000,10000,250000,31.668,2018-09-19,Na,582,582
1,1,41,90%,5400000,10000,250000,21.6,2018-10-02,Na,595,595
1,1,42,98%,4704000,10000,250000,18.816,2018-10-17,Na,610,610
1,1,43,95%,11970000,10000,250000,47.88,2018-10-31,Na,624,624
1,2,0,Na,Na,Na,Na,Na,2016-11-14,Na,0,0
1,2,5,Na,Na,Na,Na,Na,2017-02-24,Na,102,102
1,2,6,Na,4100000,100000,2500000,Na,2017-03-10,Na,116,116
1,2,7,Na,11500000,50000,1250000,4.6,2017-03-24,Na,130,130
1,2,8,Na,700000,20000,500000,0.56,2017-04-07,Na,144,144
1,2,9,85%,10000000,40000,1000000,20,2017-04-21,Na,158,158
1,2,10,90%,700000,20000,500000,0.7,2017-05-05,Na,172,172
1,2,11,91%,1900000,20000,500000,3.8,2017-05-19,Na,186,186
1,2,12,89%,3200000,20000,500000,6.4,2017-06-02,Na,200,200
1,2,13,88%,6000000,20000,500000,12,2017-06-16,Na,214,214
1,2,14,91%,13000000,20000,500000,26,2017-06-30,Na,228,228
1,2,15,89%,3400000,20000,500000,6.8,2017-07-14,Na,242,242
1,2,16,88%,2800000,20000,500000,5.6,2017-07-29,Na,257,257
1,2,17,88%,6688000,20000,500000,13.376,2017-08-08,Na,267,267
1,2,18,84%,10752000,20000,500000,21.504,2017-08-21,Na,280,280
1,2,19,91%,10556000,20000,500000,21.112,2017-09-02,Na,292,292
1,2,20,57%,5301000,20000,500000,10.602,2017-09-20,Na,310,310
1,2,21,91%,4550000,20000,500000,9.1,2017-10-04,Na,324,324
1,2,22,85%,2380000,20000,500000,4.76,2017-11-10,2017-10-04,334,10
1,2,23,97%,1940000,20000,500000,3.88,2017-11-15,2017-10-04,339,15
1,2,24,91%,11284000,20000,500000,22.568,2017-11-29,2017-10-04,353,29
1,2,25,92%,1104000,20000,500000,2.208,2017-12-13,2017-10-04,367,43
1,2,26,91%,6552000,20000,500000,13.104,2017-12-28,2017-10-04,382,58
1,2,27,93%,2604000,20000,500000,5.208,2018-02-07,2017-12-14,423,99
1,2,28,91%,5278000,20000,500000,10.556,2018-02-21,2017-12-14,437,113
1,2,29,92%,8832000,20000,500000,17.664,2018-03-07,2017-12-14,451,127
1,2,30,93%,12276000,20000,500000,24.552,2018-03-21,2017-12-14,465,141
1,2,31,91%,10920000,20000,500000,21.84,2018-04-04,2017-12-14,479,155
1,2,32,88%,11088000,20000,500000,22.176,2018-04-18,2017-12-14,493,169
1,2,33,91%,9282000,20000,500000,18.564,2018-05-02,2017-12-14,507,183
1,2,34,94%,9588000,20000,500000,19.176,2018-05-16,2017-12-14,521,197
1,2,35,91%,8190000,20000,500000,16.38,2018-05-30,2017-12-14,535,211
1,2,36,92%,4416000,20000,500000,8.832,2018-06-13,2017-12-14,549,225
1,2,37,87%,5220000,20000,500000,10.44,2018-06-27,2017-12-14,563,239
1,2,38,91%,4550000,20000,500000,9.1,2018-07-11,2017-12-14,577,253
1,2,39,89%,8811000,20000,500000,17.622,2018-07-25,2017-12-14,591,267
1,2,40,85%,705500,20000,500000,1.411,2018-08-08,2017-12-14,605,281
1,2,41,95%,14250000,20000,500000,28.5,2018-08-22,2017-12-14,619,295
1,2,42,70%,2520000,10000,250000,5.04,2018-09-05,2017-12-14,633,309
1,2,43,88%,10032000,10000,250000,40.128,2018-09-19,2017-12-14,647,323
1,2,44,95%,14535000,10000,250000,58.14,2018-10-02,2017-12-14,660,336
1,2,45,91%,6825000,10000,250000,27.3,2018-10-17,2017-12-14,675,351
1,2,46,97%,11349000,10000,250000,45.396,2018-10-31,2017-12-14,689,365
1,2,47,Na,Na,Na,Na,Na,2019-03-20,2018-11-14,703,14
1,2,48,81%,4860000,10000,125000,Na,2019-04-02,2018-11-14,716,27
1,2,49,80%,10080000,10000,125000,80.64,2019-04-16,2018-11-14,730,41
1,2,50,92%,9108000,10000,125000,72.864,2019-04-30,2018-11-14,744,55
1,2,51,84%,10080000,10000,125000,80.64,2019-05-14,2018-11-14,758,69
1,2,52,98%,4116000,10000,125000,32.928,2019-05-24,2018-11-14,768,79
1,2,53,80%,9920000,10000,125000,79.36,2019-06-07,2018-11-14,782,93
1,2,54,80%,9120000,10000,125000,72.96,2019-06-20,2018-11-14,795,106
1,2,55,90%,9900000,10000,125000,79.2,2019-07-03,2018-11-14,808,119
1,2,56,98%,11074000,10000,200000,88.592,2019-07-17,2018-11-14,822,133
1,2,57,99%,7920000,10000,125000,39.6,2019-07-30,2018-11-14,835,146
1,2,58,97%,9480000,10000,200000,47.4,2019-08-13,2018-11-14,849,160
1,2,59,94%,10300000,10000,200000,82.4,2019-08-27,2018-11-14,863,174
1,2,60,59%,6608000,10000,125000,33.04,2019-09-10,2018-11-14,877,188
1,2,61,69%,8004000,10000,125000,64.032,2019-09-24,2018-11-14,891,202
1,2,62,79%,7584000,10000,125000,60.672,2019-10-08,2018-11-14,905,216
1,2,63,56%,5376000,10000,62500,43.008,2019-10-22,2018-11-14,919,230
1,2,64,69%,5382000,10000,125000,86.112,2019-11-05,2018-11-14,933,244
1,2,65,78%,7722000,10000,125000,61.776,2019-11-19,2018-11-14,947,258
1,2,66,53%,6201000,10000,125000,49.608,2019-12-03,2018-11-14,961,272
1,2,67,89%,8544000,10000,125000,68.352,2019-12-17,2018-11-14,975,286
1,3,0,Na,Na,Na,Na,Na,2016-11-14,Na,0,0
1,3,5,Na,Na,Na,Na,Na,2017-02-24,Na,102,102
1,3,6,Na,3800000,100000,2500000,Na,2017-03-10,Na,116,116
1,3,7,Na,13500000,50000,1250000,5.4,2017-03-24,Na,130,130
1,3,8,Na,1600000,50000,1250000,1.28,2017-04-07,Na,144,144
1,3,9,90%,10000000,40000,1000000,8,2017-04-21,Na,158,158
1,3,10,95%,10000000,40000,1000000,10,2017-05-05,Na,172,172
1,3,11,93%,12000000,20000,500000,12,2017-05-19,Na,186,186
1,3,12,91%,4000000,20000,500000,8,2017-06-02,Na,200,200
1,3,13,92%,5200000,20000,500000,10.4,2017-06-16,Na,214,214
1,3,14,90%,12000000,20000,500000,24,2017-06-30,Na,228,228
1,3,15,90%,1500000,20000,500000,3,2017-07-14,Na,242,242
1,3,16,91%,1600000,20000,500000,3.2,2017-07-29,Na,257,257
1,3,17,90%,1980000,20000,500000,3.96,2017-08-08,Na,267,267
1,3,18,88%,7392000,20000,500000,14.784,2017-08-21,Na,280,280
1,3,19,88%,5632000,20000,500000,11.264,2017-09-02,Na,292,292
1,3,20,88%,4752000,20000,500000,9.504,2017-09-20,Na,310,310
1,3,21,95%,3420000,20000,500000,6.84,2017-10-04,Na,324,324
1,3,22,91%,4914000,20000,500000,9.828,2017-10-18,Na,338,338
1,3,23,88%,3696000,20000,500000,7.392,2017-11-01,Na,352,352
1,3,24,90%,1980000,20000,500000,3.96,2017-11-15,Na,366,366
1,3,25,85%,3060000,20000,500000,6.12,2017-11-29,Na,380,380
1,3,26,93%,920700,20000,500000,1.8414,2017-12-13,Na,394,394
1,3,27,96%,2678400,20000,500000,5.3568,2017-12-28,Na,409,409
1,3,28,92%,423200,20000,500000,0.8464,2018-01-11,Na,423,423
1,3,29,95%,4845000,20000,500000,9.69,2018-01-24,Na,436,436
1,3,30,87%,783000,20000,500000,1.566,2018-02-07,Na,450,450
1,3,31,94%,4512000,20000,500000,9.024,2018-02-21,Na,464,464
1,3,32,89%,2670000,20000,500000,5.34,2018-03-07,Na,478,478
1,3,33,90%,2880000,20000,500000,5.76,2018-03-21,Na,492,492
1,3,34,93%,2604000,20000,500000,5.208,2018-04-04,Na,506,506
1,3,35,92%,3588000,20000,500000,7.176,2018-04-18,Na,520,520
1,3,36,88%,880000,20000,500000,1.76,2018-05-02,Na,534,534
1,3,37,89%,640800,20000,500000,1.2816,2018-05-16,Na,548,548
1,3,38,93%,4464000,20000,500000,8.928,2018-05-30,Na,562,562
1,3,39,88%,1760000,20000,500000,3.52,2018-06-13,Na,576,576
1,3,40,93%,2790000,20000,500000,5.58,2018-06-27,Na,590,590
1,3,41,90%,3060000,20000,500000,6.12,2018-07-11,Na,604,604
1,3,42,77%,3003000,20000,500000,6.006,2018-07-25,Na,618,618
1,3,43,92%,3312000,20000,500000,6.624,2018-08-08,Na,632,632
1,3,44,92%,5520000,20000,500000,11.04,2018-08-22,Na,646,646
1,3,45,89%,7743000,10000,250000,15.486,2018-09-05,Na,660,660
1,3,46,88%,6336000,10000,250000,25.344,2018-09-19,Na,674,674
1,3,47,90%,8640000,10000,250000,34.56,2018-10-02,Na,687,687
1,3,48,94%,5358000,10000,250000,21.432,2018-10-17,Na,702,702
1,3,49,96%,13536000,10000,250000,54.144,2018-10-31,Na,716,716
1,3,50,Na,Na,Na,Na,Na,2019-03-20,2018-11-14,730,14
1,3,51,91%,3640000,10000,125000,Na,2019-04-02,2018-11-14,743,27
1,3,52,83%,5810000,10000,125000,46.48,2019-04-16,2018-11-14,757,41
1,3,53,70%,5250000,10000,125000,42,2019-04-30,2018-11-14,771,55
1,3,54,81%,6075000,10000,125000,48.6,2019-05-14,2018-11-14,785,69
1,3,55,86%,1892000,10000,125000,15.136,2019-05-24,2018-11-14,795,79
1,3,56,82%,6396000,10000,125000,51.168,2019-06-07,2018-11-14,809,93
1,3,57,85%,9860000,10000,125000,78.88,2019-06-20,2018-11-14,822,106
1,3,58,87%,8178000,10000,125000,65.424,2019-07-03,2018-11-14,835,119
1,3,59,96%,7372800,10000,200000,58.9824,2019-07-17,2018-11-14,849,133
1,3,60,93%,7626000,10000,125000,38.13,2019-07-30,2018-11-14,862,146
1,3,61,98%,7680000,10000,200000,38.4,2019-08-13,2018-11-14,876,160
1,3,62,99%,7550000,10000,200000,60.4,2019-08-27,2018-11-14,890,174
1,3,63,78%,7644000,10000,125000,38.22,2019-09-10,2018-11-14,904,188
1,3,64,78%,8268000,10000,125000,66.144,2019-09-24,2018-11-14,918,202
1,3,65,57%,3648000,10000,125000,29.184,2019-10-08,2018-11-14,932,216
1,3,66,64%,6336000,10000,62500,50.688,2019-10-22,2018-11-14,946,230
1,3,67,83%,3984000,10000,125000,63.744,2019-11-05,2018-11-14,960,244
1,3,68,73%,5913000,10000,125000,47.304,2019-11-19,2018-11-14,974,258
1,3,69,56%,4536000,10000,125000,36.288,2019-12-03,2018-11-14,988,272
1,3,70,85%,5950000,10000,125000,47.6,2019-12-17,2018-11-14,1002,286
2,1,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
2,1,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
2,1,5,49%,886500,20000,500000,Na,2017-05-12,Na,87,87
2,1,6,Na,12200000,20000,500000,24.4,2017-05-26,Na,101,101
2,1,7,83%,4565000,20000,500000,9.13,2017-06-09,Na,115,115
2,1,8,87%,5220000,20000,500000,10.44,2017-06-23,Na,129,129
2,1,9,81%,8748000,20000,500000,17.496,2017-07-07,Na,143,143
2,1,10,93%,7440000,20000,500000,14.88,2017-07-21,Na,157,157
2,1,11,88%,11968000,20000,500000,23.936,2017-08-06,Na,173,173
2,1,12,89%,13617000,20000,500000,27.234,2017-08-23,Na,190,190
2,1,13,96%,1056000,20000,500000,2.112,2017-09-03,Na,201,201
2,1,14,79%,7426000,20000,500000,14.852,2017-09-20,Na,218,218
2,1,15,55%,154000,20000,140000,0.308,2017-10-04,Na,232,232
2,1,16,91%,910000,20000,140000,6.5,2017-10-18,Na,246,246
2,1,17,72%,11016000,15000,400000,78.68571429,2017-11-01,Na,260,260
2,1,18,95%,11400000,10000,250000,28.5,2017-11-15,Na,274,274
2,1,19,97%,9021000,10000,250000,36.084,2017-11-29,Na,288,288
2,1,20,95%,8550000,10000,250000,34.2,2017-12-13,Na,302,302
2,1,21,96%,8640000,5000,125000,34.56,2017-12-27,Na,316,316
2,1,22,94%,7896000,10000,250000,63.168,2018-01-10,Na,330,330
2,1,23,91%,8463000,10000,250000,33.852,2018-01-24,Na,344,344
2,1,24,94%,6768000,10000,250000,27.072,2018-02-07,Na,358,358
2,1,25,93%,11997000,10000,250000,47.988,2018-02-21,Na,372,372
2,1,26,89%,10947000,10000,250000,43.788,2018-03-07,Na,386,386
2,1,27,93%,9765000,10000,250000,39.06,2018-03-21,Na,400,400
2,1,28,90%,2619000,10000,250000,10.476,2018-04-04,Na,414,414
2,1,29,94%,17202000,10000,250000,68.808,2018-04-18,Na,428,428
2,1,30,91%,9009000,10000,250000,36.036,2018-05-02,Na,442,442
2,1,31,91%,8736000,10000,250000,34.944,2018-05-16,Na,456,456
2,1,32,90%,8100000,10000,250000,32.4,2018-05-30,Na,470,470
2,1,33,97%,13677000,10000,250000,54.708,2018-06-13,Na,484,484
2,1,34,95%,8265000,10000,250000,33.06,2018-06-27,Na,498,498
2,1,35,94%,8742000,10000,250000,34.968,2018-07-11,Na,512,512
2,1,36,95%,12825000,10000,250000,51.3,2018-07-25,Na,526,526
2,1,37,93%,9207000,10000,250000,36.828,2018-08-08,Na,540,540
2,1,38,94%,10716000,10000,250000,42.864,2018-08-22,Na,554,554
2,1,39,90%,8100000,10000,250000,32.4,2018-09-04,Na,567,567
2,1,40,97%,8148000,10000,250000,32.592,2018-09-18,Na,581,581
2,1,41,94%,10152000,10000,250000,40.608,2018-10-01,Na,594,594
2,1,42,90%,1809000,10000,250000,7.236,2018-10-16,Na,609,609
2,1,43,93%,14787000,10000,250000,59.148,2018-10-30,Na,623,623
2,1,44,93%,14787000,10000,250000,59.148,2018-11-13,Na,637,637
2,2,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
2,2,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
2,2,5,90%,1665000,20000,500000,Na,2017-05-12,Na,87,87
2,2,6,Na,7200000,20000,500000,14.4,2017-05-26,Na,101,101
2,2,7,82%,6150000,20000,500000,12.3,2017-06-09,Na,115,115
2,2,8,90%,8370000,20000,500000,16.74,2017-06-23,Na,129,129
2,2,9,79%,8848000,20000,500000,17.696,2017-07-07,Na,143,143
2,2,10,91%,15288000,20000,500000,30.576,2017-07-21,Na,157,157
2,2,11,88%,13024000,20000,500000,26.048,2017-08-06,Na,173,173
2,2,12,90%,11610000,20000,500000,23.22,2017-08-23,Na,190,190
2,2,13,94%,940000,20000,500000,1.88,2017-09-03,Na,201,201
2,2,14,84%,4872000,20000,500000,9.744,2017-09-20,Na,218,218
2,2,15,85%,2890000,20000,500000,5.78,2017-10-04,Na,232,232
2,2,16,93%,10044000,20000,500000,20.088,2017-10-18,Na,246,246
2,2,17,69%,6624000,15000,400000,13.248,2017-11-01,Na,260,260
2,2,18,89%,10146000,10000,250000,25.365,2017-11-15,Na,274,274
2,2,19,96%,10080000,10000,250000,40.32,2017-11-29,Na,288,288
2,2,20,95%,12255000,10000,250000,49.02,2017-12-13,Na,302,302
2,2,21,93%,10044000,5000,125000,40.176,2017-12-27,Na,316,316
2,2,22,94%,10152000,10000,250000,81.216,2018-01-10,Na,330,330
2,2,23,95%,12825000,10000,250000,51.3,2018-01-24,Na,344,344
2,2,24,96%,9792000,10000,250000,39.168,2018-02-07,Na,358,358
2,2,25,95%,12825000,10000,250000,51.3,2018-02-21,Na,372,372
2,2,26,96%,12960000,10000,250000,51.84,2018-03-07,Na,386,386
2,2,27,93%,11439000,10000,250000,45.756,2018-03-21,Na,400,400
2,2,28,87%,408900,10000,250000,1.6356,2018-04-04,Na,414,414
2,2,29,91%,10920000,10000,250000,43.68,2018-04-18,Na,428,428
2,2,30,97%,13095000,10000,250000,52.38,2018-05-02,Na,442,442
2,2,31,94%,14100000,10000,250000,56.4,2018-05-16,Na,456,456
2,2,32,95%,12255000,10000,250000,49.02,2018-05-30,Na,470,470
2,2,33,95%,14820000,10000,250000,59.28,2018-06-13,Na,484,484
2,2,34,91%,8190000,10000,250000,32.76,2018-06-27,Na,498,498
2,2,35,96%,12096000,10000,250000,48.384,2018-07-11,Na,512,512
2,2,36,93%,11997000,10000,250000,47.988,2018-07-25,Na,526,526
2,2,37,94%,4512000,10000,250000,18.048,2018-08-08,Na,540,540
2,2,38,95%,14820000,10000,250000,59.28,2018-08-22,Na,554,554
2,2,40,96%,8640002,10000,250000,34.56000768,2018-09-18,Na,581,581
2,2,41,89%,21360003,10000,250000,85.44001068,2018-10-01,Na,594,594
2,2,42,90%,1917000,10000,250000,7.668,2018-10-16,Na,609,609
2,2,43,90%,16200000,10000,250000,64.8,2018-10-30,Na,623,623
2,2,44,Na,Na,Na,Na,Na,2019-03-20,2018-10-30,623,0
2,2,45,60%,4440000,10000,125000,Na,2019-04-02,2018-10-30,637,14
2,2,46,65%,6110000,10000,125000,48.88,2019-04-16,2018-10-30,651,28
2,2,47,78%,6084000,10000,125000,48.672,2019-04-30,2018-10-30,665,42
2,2,48,71%,7668000,10000,125000,61.344,2019-05-14,2018-10-30,679,56
2,2,49,76%,2432000,10000,125000,19.456,2019-05-24,2018-10-30,689,66
2,2,50,80%,8160000,10000,125000,65.28,2019-06-07,2018-10-30,703,80
