Donor,Culture,Passage,Viability,Total viable cells,Cells per well,Cells seeded,Growth_fold_change,Date,Thaw date,Days_final,Days_temp
2,2,51,70%,6020000,10000,125000,48.16,2019-06-20,2018-10-30,716,93
2,2,52,60%,4800000,10000,125000,38.4,2019-07-03,2018-10-30,729,106
2,2,53,90%,7074000,10000,200000,56.592,2019-07-17,2018-10-30,743,120
2,2,54,79%,9006000,10000,125000,45.03,2019-07-30,2018-10-30,756,133
2,2,55,96%,5570000,10000,200000,27.85,2019-08-13,2018-10-30,770,147
2,2,56,90%,8630000,10000,200000,69.04,2019-08-27,2018-10-30,784,161
2,2,57,54%,10800000,10000,125000,54,2019-09-10,2018-10-30,798,175
2,2,58,82%,11972000,10000,125000,95.776,2019-09-24,2018-10-30,812,189
2,2,59,92%,9752000,10000,125000,78.016,2019-10-08,2018-10-30,826,203
2,2,60,61%,8052000,10000,62500,64.416,2019-10-22,2018-10-30,840,217
2,2,61,71%,5751000,10000,125000,92.016,2019-11-05,2018-10-30,854,231
2,2,62,73%,8322000,10000,125000,66.576,2019-11-19,2018-10-30,868,245
2,2,63,43%,4386000,10000,125000,35.088,2019-12-03,2018-10-30,882,259
2,2,64,85%,5610000,10000,125000,44.88,2019-12-17,2018-10-30,896,273
2,3,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
2,3,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
2,3,5,95%,3610000,20000,500000,Na,2017-05-12,Na,87,87
2,3,6,Na,12800000,20000,500000,25.6,2017-05-26,Na,101,101
2,3,7,85%,4080000,20000,500000,8.16,2017-06-09,Na,115,115
2,3,8,87%,3654000,20000,500000,7.308,2017-06-23,Na,129,129
2,3,9,79%,2844000,20000,500000,5.688,2017-07-07,Na,143,143
2,3,10,91%,2002000,20000,500000,4.004,2017-07-21,Na,157,157
2,3,11,89%,8900000,20000,500000,17.8,2017-08-06,Na,173,173
2,3,12,89%,11214000,20000,500000,22.428,2017-08-23,Na,190,190
2,3,13,94%,1128000,20000,500000,2.256,2017-09-03,Na,201,201
2,3,14,51%,3060000,20000,500000,6.12,2017-09-20,Na,218,218
2,3,15,81%,4050000,20000,500000,8.1,2017-10-04,Na,232,232
2,3,16,94%,6204000,20000,500000,12.408,2017-10-18,Na,246,246
2,3,17,70%,7560000,15000,400000,15.12,2017-11-01,Na,260,260
2,3,18,94%,8272000,10000,250000,20.68,2017-11-15,Na,274,274
2,3,19,96%,6912000,10000,250000,27.648,2017-11-29,Na,288,288
2,3,20,95%,10830000,10000,250000,43.32,2017-12-13,Na,302,302
2,3,21,91%,8190000,5000,125000,32.76,2017-12-27,Na,316,316
2,3,22,96%,7776000,10000,250000,62.208,2018-01-10,Na,330,330
2,3,23,96%,14688000,10000,250000,58.752,2018-01-24,Na,344,344
2,3,24,95%,17955000,10000,250000,71.82,2018-02-07,Na,358,358
2,3,25,97%,12222000,10000,250000,48.888,2018-02-21,Na,372,372
2,3,26,92%,13800000,10000,250000,55.2,2018-03-07,Na,386,386
2,3,27,93%,15345000,10000,250000,61.38,2018-03-21,Na,400,400
2,3,28,91%,6006000,10000,250000,24.024,2018-04-04,Na,414,414
2,3,29,88%,9768000,10000,250000,39.072,2018-04-18,Na,428,428
2,3,30,88%,7392000,10000,250000,29.568,2018-05-02,Na,442,442
2,3,31,93%,9486000,10000,250000,37.944,2018-05-16,Na,456,456
2,3,32,88%,5280000,10000,250000,21.12,2018-05-30,Na,470,470
2,3,33,95%,10260000,10000,250000,41.04,2018-06-13,Na,484,484
2,3,34,93%,7812000,10000,250000,31.248,2018-06-27,Na,498,498
2,3,35,94%,9588000,10000,250000,38.352,2018-07-11,Na,512,512
2,3,36,85%,6375000,10000,250000,25.5,2018-07-25,Na,526,526
2,3,37,82%,516600,10000,250000,2.0664,2018-08-08,Na,540,540
2,3,38,95%,19380000,10000,250000,77.52,2018-08-22,Na,554,554
2,3,39,85%,11220000,10000,250000,44.88,2018-09-04,Na,567,567
2,3,40,95%,6650000,10000,250000,26.6,2018-09-18,Na,581,581
2,3,41,86%,11352000,10000,250000,45.408,2018-10-01,Na,594,594
2,3,42,90%,2646000,10000,250000,10.584,2018-10-16,Na,609,609
2,3,43,91%,10647000,10000,250000,42.588,2018-10-30,Na,623,623
2,3,44,91%,10647000,10000,250000,42.588,2018-11-13,Na,637,637
2,3,45,Na,Na,Na,Na,Na,2019-03-20,2018-11-13,637,0
2,3,46,85%,2720000,10000,125000,10.88,2019-04-02,2018-11-13,651,14
2,3,47,75%,4950000,10000,125000,39.6,2019-04-16,2018-11-13,665,28
2,3,48,69%,7038000,10000,125000,56.304,2019-04-30,2018-11-13,679,42
2,3,49,81%,6075000,10000,125000,48.6,2019-05-14,2018-11-13,693,56
2,3,50,79%,2370000,10000,125000,18.96,2019-05-24,2018-11-13,703,66
2,3,51,85%,6460000,10000,125000,51.68,2019-06-07,2018-11-13,717,80
2,3,52,72%,8064000,10000,125000,64.512,2019-06-20,2018-11-13,730,93
2,3,53,66%,7392000,10000,125000,59.136,2019-07-03,2018-11-13,743,106
2,3,54,93%,8370000,10000,200000,66.96,2019-07-17,2018-11-13,757,120
2,3,55,92%,8648000,10000,125000,43.24,2019-07-30,2018-11-13,770,133
2,3,56,94%,6430000,10000,200000,32.15,2019-08-13,2018-11-13,784,147
2,3,57,80%,4870000,10000,200000,38.96,2019-08-27,2018-11-13,798,161
2,3,58,48%,4032000,10000,125000,20.16,2019-09-10,2018-11-13,812,175
2,3,59,60%,4080000,10000,125000,32.64,2019-09-24,2018-11-13,826,189
2,3,60,84%,9912000,10000,125000,79.296,2019-10-08,2018-11-13,840,203
2,3,61,68%,8160000,10000,62500,65.28,2019-10-22,2018-11-13,854,217
2,3,62,90%,7020000,10000,125000,112.32,2019-11-05,2018-11-13,868,231
2,3,63,72%,9504000,10000,125000,76.032,2019-11-19,2018-11-13,882,245
2,3,64,57%,7866000,10000,125000,62.928,2019-12-03,2018-11-13,896,259
2,3,65,83%,4980000,10000,125000,39.84,2019-12-17,2018-11-13,910,273
3,1,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
3,1,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
3,1,5,85%,1026000,20000,500000,Na,2017-05-12,Na,87,87
3,1,6,Na,7200000,20000,500000,14.4,2017-05-26,Na,101,101
3,1,7,83%,8300000,20000,500000,16.6,2017-06-09,Na,115,115
3,1,8,86%,1496400,20000,500000,2.9928,2017-06-23,Na,129,129
3,1,9,82%,11808000,20000,500000,23.616,2017-07-07,Na,143,143
3,1,10,93%,13764000,20000,500000,27.528,2017-07-21,Na,157,157
3,1,11,89%,10680000,20000,500000,21.36,2017-08-06,Na,173,173
3,1,12,91%,19110000,20000,500000,38.22,2017-08-23,Na,190,190
3,1,13,91%,6552000,20000,500000,13.104,2017-09-03,Na,201,201
3,1,14,90%,2160000,20000,500000,15.42857143,2017-10-25,2017-09-02,215,14
3,1,15,95%,3990000,15000,400000,7.98,2017-11-01,2017-09-02,222,21
3,1,16,95%,16815000,10000,250000,42.0375,2017-11-15,2017-09-02,236,35
3,1,17,95%,14060000,10000,250000,56.24,2017-11-29,2017-09-02,250,49
3,1,18,97%,9894000,10000,250000,39.576,2017-12-13,2017-09-02,264,63
3,1,19,90%,10800000,5000,125000,43.2,2017-12-27,2017-09-02,278,77
3,1,20,94%,6768000,10000,250000,54.144,2018-01-10,2017-09-02,292,91
3,1,21,92%,12696000,10000,250000,50.784,2018-01-24,2017-09-02,306,105
3,1,22,91%,3549000,10000,250000,14.196,2018-02-07,2017-09-02,320,119
3,1,23,95%,8740000,10000,250000,34.96,2018-02-21,2017-09-02,334,133
3,1,24,96%,14112000,10000,250000,56.448,2018-03-07,2017-09-02,348,147
3,1,25,94%,16074000,10000,250000,64.296,2018-03-21,2017-09-02,362,161
3,1,26,80%,2880000,10000,250000,11.52,2018-04-04,2017-09-02,376,175
3,1,27,86%,12384000,10000,250000,49.536,2018-04-18,2017-09-02,390,189
3,1,28,93%,6975000,10000,250000,27.9,2018-05-02,2017-09-02,404,203
3,1,29,95%,12825000,10000,250000,51.3,2018-05-16,2017-09-02,418,217
3,1,30,82%,5904000,10000,250000,23.616,2018-05-30,2017-09-02,432,231
3,1,31,73%,657000,10000,250000,2.628,2018-06-13,2017-09-02,446,245
3,1,32,94%,7896000,10000,250000,31.584,2018-06-27,2017-09-02,460,259
3,1,33,94%,8742000,10000,250000,34.968,2018-07-11,2017-09-02,474,273
3,1,34,86%,5676000,10000,250000,22.704,2018-07-25,2017-09-02,488,287
3,1,35,53%,95400,10000,250000,0.3816,2018-08-08,2017-09-02,502,301
3,1,36,65%,4875000,10000,250000,19.5,2018-09-04,2017-09-02,529,328
3,1,37,92%,3864000,10000,250000,15.456,2018-08-22,2017-09-02,516,315
3,1,38,97%,7372000,10000,250000,29.488,2018-09-18,2017-09-02,543,342
3,1,39,92%,6348000,10000,250000,25.392,2018-10-01,2017-09-02,556,355
3,1,40,95%,10260000,10000,250000,41.04,2018-10-16,2017-09-02,571,370
3,1,41,93%,11160000,10000,250000,44.64,2018-10-30,2017-09-02,585,384
3,1,42,93%,11160000,10000,250000,44.64,2018-11-13,2017-09-02,599,398
3,1,43,Na,Na,Na,Na,Na,2019-03-20,2018-11-27,613,14
3,1,44,83%,4482000,10000,125000,Na,2019-04-02,2018-11-27,626,27
3,1,45,76%,4104000,10000,125000,32.832,2019-04-16,2018-11-27,640,41
3,1,46,88%,8448000,10000,125000,67.584,2019-04-30,2018-11-27,654,55
3,1,47,98%,12936000,10000,125000,103.488,2019-05-14,2018-11-27,668,69
3,1,48,88%,4752000,10000,125000,38.016,2019-05-24,2018-11-27,678,79
3,1,49,89%,15308000,10000,125000,122.464,2019-06-07,2018-11-27,692,93
3,1,50,88%,17600000,10000,125000,140.8,2019-06-20,2018-11-27,705,106
3,1,51,67%,11658000,10000,125000,93.264,2019-07-03,2018-11-27,718,119
3,1,52,98%,11583600,10000,200000,92.6688,2019-07-17,2018-11-27,732,133
3,1,53,95%,11400000,10000,125000,57,2019-07-30,2018-11-27,745,146
3,1,54,98%,7600000,10000,200000,38,2019-08-13,2018-11-27,759,160
3,1,55,95%,9620000,10000,200000,76.96,2019-08-27,2018-11-27,773,174
3,1,56,70%,13720000,10000,125000,68.6,2019-09-10,2018-11-27,787,188
3,1,57,81%,10368000,10000,125000,82.944,2019-09-24,2018-11-27,801,202
3,1,58,78%,13260000,10000,125000,106.08,2019-10-08,2018-11-27,815,216
3,1,59,83%,17181000,10000,62500,137.448,2019-10-22,2018-11-27,829,230
3,1,60,85%,7650000,10000,125000,122.4,2019-11-05,2018-11-27,843,244
3,1,61,93%,19530000,10000,125000,156.24,2019-11-19,2018-11-27,857,258
3,1,62,74%,14208000,10000,125000,113.664,2019-12-03,2018-11-27,871,272
3,1,63,98%,17934000,10000,125000,143.472,2019-12-17,2018-11-27,885,286
3,2,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
3,2,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
3,2,5,94%,982850,20000,500000,Na,2017-05-12,Na,87,87
3,2,6,Na,2400000,20000,500000,4.8,2017-05-26,Na,101,101
3,2,7,78%,3666000,20000,500000,7.332,2017-06-09,Na,115,115
3,2,8,87%,6003000,20000,500000,12.006,2017-06-23,Na,129,129
3,2,9,86%,3784000,20000,500000,7.568,2017-07-07,Na,143,143
3,2,10,86%,7224000,20000,500000,14.448,2017-07-21,Na,157,157
3,2,11,89%,15308000,20000,500000,30.616,2017-08-06,Na,173,173
3,2,12,90%,15390000,20000,500000,30.78,2017-08-23,Na,190,190
3,2,13,98%,4312000,20000,500000,8.624,2017-09-03,Na,201,201
3,2,14,46%,6348000,20000,500000,12.696,2017-09-20,Na,218,218
3,2,15,94%,5076000,20000,500000,10.152,2017-10-04,Na,232,232
3,2,16,93%,10323000,20000,500000,20.646,2017-10-18,Na,246,246
3,2,17,88%,8976000,15000,400000,17.952,2017-11-01,Na,260,260
3,2,18,94%,8460000,10000,250000,21.15,2017-11-15,Na,274,274
3,2,19,96%,7680000,10000,250000,30.72,2017-11-29,Na,288,288
3,2,20,96%,8064000,10000,250000,32.256,2017-12-13,Na,302,302
3,2,21,93%,10323000,5000,125000,41.292,2017-12-27,Na,316,316
3,2,22,95%,7790000,10000,250000,62.32,2018-01-11,Na,331,331
3,2,23,96%,11520000,10000,250000,46.08,2018-01-24,Na,344,344
3,2,24,98%,11466000,10000,250000,45.864,2018-02-07,Na,358,358
3,2,25,97%,19497000,10000,250000,77.988,2018-02-21,Na,372,372
3,2,26,96%,18144000,10000,250000,72.576,2018-03-07,Na,386,386
3,2,27,95%,13395000,10000,250000,53.58,2018-03-21,Na,400,400
3,2,28,95%,5985000,10000,250000,23.94,2018-04-04,Na,414,414
3,2,29,92%,17388000,10000,250000,69.552,2018-04-18,Na,428,428
3,2,30,96%,13248000,10000,250000,52.992,2018-05-02,Na,442,442
3,2,31,93%,15066000,10000,250000,60.264,2018-05-16,Na,456,456
3,2,32,94%,11562000,10000,250000,46.248,2018-05-30,Na,470,470
3,2,33,88%,8712000,10000,250000,34.848,2018-06-13,Na,484,484
3,2,34,97%,9312000,10000,250000,37.248,2018-06-27,Na,498,498
3,2,35,98%,18228000,10000,250000,72.912,2018-07-11,Na,512,512
3,2,36,96%,5184000,10000,250000,20.736,2018-07-25,Na,526,526
3,2,37,93%,4650000,10000,250000,18.6,2018-08-08,Na,540,540
3,2,38,99%,18414000,10000,250000,73.656,2018-08-22,Na,554,554
3,2,42,94%,6204000,10000,250000,24.816,2018-10-17,Na,610,610
3,2,43,96%,17856000,10000,250000,71.424,2018-10-31,Na,624,624
3,2,44,Na,Na,Na,Na,Na,2019-03-20,2018-11-14,638,14
3,2,45,81%,5508000,10000,125000,Na,2019-04-02,2018-11-14,652,27
3,2,46,89%,8544000,10000,125000,68.352,2019-04-16,2018-11-14,666,41
3,2,47,96%,10656000,10000,125000,85.248,2019-04-30,2018-11-14,680,55
3,2,48,92%,14076000,10000,125000,112.608,2019-05-14,2018-11-14,694,69
3,2,49,91%,3276000,10000,125000,26.208,2019-05-24,2018-11-14,708,79
3,2,50,93%,10602000,10000,125000,84.816,2019-06-07,2018-11-14,722,93
3,2,51,85%,16150000,10000,125000,129.2,2019-06-20,2018-11-14,736,106
3,2,52,82%,10496000,10000,125000,83.968,2019-07-03,2018-11-14,750,119
3,2,53,92%,9641600,10000,200000,77.1328,2019-07-17,2018-11-14,764,133
3,2,54,95%,9500000,10000,125000,47.5,2019-07-30,2018-11-14,778,146
3,2,55,99%,11300000,10000,200000,56.5,2019-08-13,2018-11-14,792,160
3,2,56,98%,7520000,10000,200000,60.16,2019-08-27,2018-11-14,806,174
3,2,57,64%,10624000,10000,125000,53.12,2019-09-10,2018-11-14,820,188
3,2,58,75%,9300000,10000,125000,74.4,2019-09-24,2018-11-14,834,202
3,2,59,79%,9164000,10000,125000,73.312,2019-10-08,2018-11-14,848,216
3,2,60,76%,10716000,10000,62500,85.728,2019-10-22,2018-11-14,862,230
3,2,61,94%,6768000,10000,125000,108.288,2019-11-05,2018-11-14,876,244
3,2,62,83%,12201000,10000,125000,97.608,2019-11-19,2018-11-14,890,258
3,2,63,61%,9150000,10000,125000,73.2,2019-12-03,2018-11-14,904,272
3,2,64,93%,14322000,10000,125000,114.576,2019-12-17,2018-11-14,918,286
3,3,0,Na,Na,Na,Na,Na,2017-02-14,Na,0,0
3,3,4,Na,Na,Na,Na,Na,2017-04-28,Na,73,73
3,3,5,81%,241600,20000,240000,Na,2017-05-12,Na,87,87
3,3,6,Na,170000,20000,170000,0.708333333,2017-05-26,Na,101,101
3,3,8,60%,204000,20000,200000,1.2,2017-06-23,Na,129,129
3,3,10,74%,540200,20000,500000,2.701,2017-07-21,Na,157,157
3,3,11,82%,746200,20000,500000,1.4924,2017-08-06,Na,173,173
3,3,12,85%,5100000,20000,500000,10.2,2017-08-23,Na,190,190
3,3,13,94%,8460000,20000,500000,16.92,2017-09-03,Na,201,201
3,3,14,89%,13083000,20000,500000,26.166,2017-09-20,Na,218,218
3,3,15,84%,3360000,20000,500000,6.72,2017-10-04,Na,232,232
3,3,16,93%,13950000,20000,500000,27.9,2017-10-18,Na,246,246
3,3,17,89%,4806000,15000,400000,9.612,2017-11-01,Na,260,260
3,3,18,90%,10800000,10000,250000,27,2017-11-15,Na,274,274
3,3,19,95%,10830000,10000,250000,43.32,2017-11-29,Na,288,288
3,3,20,94%,12690000,10000,250000,50.76,2017-12-13,Na,302,302
3,3,21,93%,9765000,5000,125000,39.06,2017-12-27,Na,316,316
3,3,22,91%,7098000,10000,250000,56.784,2018-01-10,Na,330,330
3,3,23,93%,17298000,10000,250000,69.192,2018-01-24,Na,344,344
3,3,24,93%,8742000,10000,250000,34.968,2018-02-07,Na,358,358
3,3,25,95%,12350000,10000,250000,49.4,2018-02-21,Na,372,372
3,3,26,96%,20736000,10000,250000,82.944,2018-03-07,Na,386,386
3,3,27,96%,13248000,10000,250000,52.992,2018-03-21,Na,400,400
3,3,28,95%,7695000,10000,250000,30.78,2018-04-04,Na,414,414
3,3,29,96%,21024000,10000,250000,84.096,2018-04-18,Na,428,428
3,3,30,90%,9720000,10000,250000,38.88,2018-05-02,Na,442,442
3,3,31,95%,14250000,10000,250000,57,2018-05-16,Na,456,456
3,3,32,91%,11466000,10000,250000,45.864,2018-05-30,Na,470,470
3,3,33,96%,4416000,10000,250000,17.664,2018-06-13,Na,484,484
3,3,34,92%,5796000,10000,250000,23.184,2018-06-27,Na,498,498
3,3,35,95%,13110000,10000,250000,52.44,2018-07-11,Na,512,512
3,3,36,94%,10998000,10000,250000,43.992,2018-07-25,Na,526,526
3,3,37,96%,10944000,10000,250000,43.776,2018-08-08,Na,540,540
3,3,38,95%,15960000,10000,250000,63.84,2018-08-22,Na,554,554
3,3,42,94%,9588000,10000,250000,38.352,2018-10-16,Na,609,609
3,3,43,93%,12276000,10000,250000,49.104,2018-10-30,Na,623,623
3,3,45,93%,12276000,10000,250000,49.104,2018-11-13,Na,637,637
3,3,46,Na,Na,Na,Na,Na,2019-03-20,2018-11-27,651,14
3,3,47,86%,9288000,10000,125000,37.152,2019-04-02,2018-11-27,664,27
3,3,48,91%,12194000,10000,125000,97.552,2019-04-16,2018-11-27,678,41
3,3,49,95%,11400000,10000,125000,91.2,2019-04-30,2018-11-27,692,55
3,3,50,97%,13968000,10000,125000,111.744,2019-05-14,2018-11-27,706,69
3,3,51,74%,3922000,10000,125000,31.376,2019-05-24,2018-11-27,716,79
3,3,52,94%,15792000,10000,125000,126.336,2019-06-07,2018-11-27,730,93
3,3,53,82%,13612000,10000,125000,108.896,2019-06-20,2018-11-27,743,106
3,3,54,87%,14094000,10000,125000,112.752,2019-07-03,2018-11-27,756,119
3,3,55,89%,5927400,10000,200000,47.4192,2019-07-17,2018-11-27,770,133
3,3,56,99%,14454000,10000,125000,72.27,2019-07-30,2018-11-27,783,146
3,3,57,97%,9790000,10000,200000,48.95,2019-08-13,2018-11-27,797,160
3,3,58,91%,8620000,10000,200000,68.96,2019-08-27,2018-11-27,811,174
3,3,59,79%,15326000,10000,125000,76.63,2019-09-10,2018-11-27,825,188
3,3,60,82%,11972000,10000,125000,95.776,2019-09-24,2018-11-27,839,202
3,3,61,82%,13612000,10000,125000,108.896,2019-10-08,2018-11-27,853,216
3,3,62,77%,13398000,10000,62500,107.184,2019-10-22,2018-11-27,867,230
3,3,63,81%,4131000,10000,125000,66.096,2019-11-05,2018-11-27,881,244
3,3,64,86%,12900000,10000,125000,103.2,2019-11-19,2018-11-27,895,258
3,3,65,48%,5328000,10000,125000,42.624,2019-12-03,2018-11-27,909,272
3,3,66,96%,20160000,10000,125000,161.28,2019-12-17,2018-11-27,923,286